1	COLEG.NAC.RAFAEL HERNANDEZ	1
2	ESCUELA SUP.DE FORMAC.EN SALUD	1
3	COLEGIO SAN JOSE	1
4	COLEGIO SAGRADA FAMILIA	1
5	ESCUELA EP N° 127/ES N°32-EX NORMAL 1	1
6	ESCUELA EP N°10/ES N°70	1
7	COLEGIO INMACULADA (EP/ES)	1
8	COLEGIO DEL CENTENARIO (ES)	1
9	INSTITUTO SAN LUIS EP/ES	1
10	COLEGIO MÑOR.F.J.RASORE EP/ES	1
11	LICEO VICTOR MERCANTE	1
12	ESCUELA EST N°9	1
13	ESCUELA ES N°31(EX NAC.COMERC)	1
14	INSTITUTO SAN VICENTE DE PAUL (EP/ES)	2
15	COLEG.N.S.DE LA MISERICORDIA EP/ES	2
16	COLEGIO LINCOLN	2
17	COLEG.NUEVA ESCUELA ARGENTINA	2
18	ESCUELA EST N°7	2
19	ESCUELA EP N°78/ES N°29	2
20	INSTITUTO LEONARDO DA VINCI	2
21	ESCUELA EP N°102	2
22	ESCUELA EST N°1	2
23	COLEGIO VIRGEN DEL PILAR EP/ES	2
24	ESCUELA EP N°120	2
25	JARDIN DE INFANTES N°950	2
26	ESCUELA BENITO LYNCH (EP/ES)	2
27	ESCUELA EP N°33	2
28	ESCUELA ES N°1	2
29	ESCUELA EP N°5	2
30	ESCUELA EDUC.ESPECIAL N°514	2
31	ESCUELA EP N°7	2
32	COLEGIO SAN ANTONIO EP/ES	2
33	JARDIN DE INFANTES N°915	2
34	ESCUELA SANTA MARTA (EP/ES)	2
35	ESCUELA EP N°66/ES N°14 ANEXO	2
36	ESCUELA EP N°1 / ES N°34 EX NORMAL N° 3	3
37	COLEGIO JOSE M.ESTRADA	3
38	UNIV.CATOLICA-FAC.DE DERECHO	3
39	ESCUELA EP N°8	3
40	JARDIN DE INFANTES N°918	3
41	COLEG.C.EVANG.PRINCIPE DE PAZ	3
42	COLEGIO MONSEÑOR ALBERTI (ES)	3
43	ESCUELA ES N°2	3
44	FACULTAD DE TRABAJO SOCIAL	3
45	ESCUELA EDUC.ESPECIAL N°531	3
46	COLEGIO JACARANDA EP/ES	3
47	ESCUELA EP N°11/ES N°46	3
48	ESCUELA EP N°58/ES N° 44	3
49	ESCUELA EP N°39/ES N°7	26
50	ESCUELA MATER DEI EP/ES	5
51	COLEGIO SANTA TERESA DE JESUS EP/ES	5
52	COLEGIO SAN PIO X EP/ES	5
53	ESCUELA EDUC.ESPECIAL N°528	5
54	CENTRO DE FORMAC.LABORAL N°2	5
55	ASOC.CULTURAL Y DEP.UNIVERSAL	5
56	ESCUELA EP N°64/ES N°74	5
57	COLEGIO MÑOR.ALBERTI (EP)	5
58	ESCUELA EP N°42/ES N°56	5
59	INSTITUTO BIVONGESI EP/ES	5
60	ESCUELA ES N°80	5
61	ESCUELA EP N°55	5
62	JARDIN DE INFANTES MUNICIPAL I.D.E.A.S	5
63	COLEGIO SAN JORGE/SANTA MARIA DE LOS ANGELES (ES)	24
64	ESCUELA DE ESTETICA N°2/ISFDYT N°12	24
65	ESCUELA EP N°84	24
66	ESCUELA EST N°5	24
67	ESCUELA EP N°121/ES N°55	24
68	JARDIN DE INFANTES N°902	24
69	INST.MARIA DE LUJAN SIERRA (EP/ES)	24
70	CENTRO DE FOMENTO V.ELVIRA	24
71	COLEGIO SANTA ROSA DE LIMA	24
72	JARDIN DE INF.MUNICIPAL N°8	24
73	JARDIN DE INFANTES N°975	24
74	ESCUELA EP N°125/ES N°71	24
75	ESCUELA EP N°59/ES N°54	24
76	JARDIN DE INF.MUNICIPAL N°3	24
77	JARDIN DE INF.MUNICIPAL N°11	24
78	CLUB VILLA MONTORO	24
79	CENTRO DE FORMACIÓN PROFESIONAL DOMUS DEI	24
80	LA CASITA DE LOS PIBES /CENTRO DE FORM. PROF. N°436	24
81	ESCUELA PEDAGÓGICA MUNICIPAL "BARRIO JARDÍN" (EP/ES)	24
82	ESCUELA EP N°27/ ES N°82	24
83	JARDIN DE INFANTES N°948	24
84	JARDIN DE INFANTES N°983	24
85	ESCUELA EP N°23/ES N°81	24
86	CENTRO DE FOMENTO FLORESTA	24
87	COL. S.M.LOS ANGELES (EP/ES)	24
88	ESCUELA EP N°40	21
89	ESCUELA EDUC.ESPECIAL N°532	21
90	CENTRO DE FOMENTO VILLA LENCI	21
91	JARDIN DE INF.PORTAL DE BELEN	21
92	CENTRO CULT.Y TRAD.PROVINCIA	21
93	COLEGIO NTRA.SRA.DE FATIMA(ES)	21
94	ESCUELA NTRA.SEÑORA DE FATIMA (EP)	21
95	INSTITUTO DE ENSEÑANZA ES	21
96	JARDIN DE INF.NTRA.SRA.DE LA ROSA	21
97	ESCUELA EP N°62/ES N°52	21
98	JARDIN DE INFANTES N°956	21
99	ASOCIACION CULTURAL Y DEPORTIVA CHACARITA PLATENSE	21
100	DELEG.MUNICIPAL SAN LORENZO	21
101	ESCUELA EP N°22	21
102	JARDIN DE INFANTES N°982	21
103	ESCUELA ES N°45	21
104	ESCUELA EP N°72/ES N°49	21
105	ESCUELA EP N°9/ES N°43	25
106	JARDIN DE INFANTES N°973	25
107	SAN PEDRO APOSTOL	25
108	ESCUELA EP N°46/ES N°94	25
109	ESCUELA EP N°108	25
110	ESCUELA EP N°21	17
111	ESCUELA EST N°3	17
112	ESCUELA ES N°3	17
113	JARDIN DE INFANTES N°909	17
114	CIRCULO CAMPANO DE LA PLATA	17
115	ESCUELA PRIVADA LOS HORNOS	17
116	CENTRO DE FOMENTO LOS HORNOS	17
117	ESCUELA EP N°20/ES N°48	17
118	ESCUELA EP N°50	17
119	CENTRO DE FOMENTO 17 DE AGOSTO	17
120	CENTRO DE FOM.ESTRELLA DEL SUR	17
121	CENTRO RECREATIVO SOCIAL CULTURAL Y DEPORTIVO OLIMPIA DE LOS HORNOS	17
122	ESCUELA EDUC.ESPECIAL N°535	17
123	CENTRO FOMENTO, CULTURAL Y DEP. ALUMNI	17
124	ESCUELA EP N°116/ES N°90	17
125	JARDIN DE INF.MUNICIPAL N°1	17
126	JARDIN DE INFANTES N°986	17
127	INSTITUTO SAN BENJAMIN	17
128	JARDÍN DE INFANTES SAN BENJAMIN	17
129	ESCUELA EP N°83	17
130	CENTRO CULTURAL Y POLIDEPORTIVO LOS HORNOS	17
131	JARDIN DE INFANTES N°989	17
132	INSTITUTO MAGDALENA DE CANOSA	17
133	COLEGIO AGUSTIN ROSCELLI (EP/ES)	17
134	LA CASA DE TODOS	17
135	INST.ARZOBISPO JUAN CHIMENTO (EP/ES)	17
136	ESCUELA ES N°16	17
137	CAPITAL CHICA EP/JI/CLUB	17
138	COLEGIO CRISTIANO CIELOS ABIERTOS EP/ES	17
139	ESCUELA EP N°35	17
140	ESCUELA EP N°28/ES N°53	17
141	ESCUELA ES N°61	11
142	ESCUELA EDUC.ESPECIAL N°538	22
143	JARDIN DE INFANTES N°922	22
144	ESCUELA EP N°29/ES N°11 ANEXO I	22
145	COLEGIO NTRA.SRA.DE LOURDES	6
146	COLEGIO CRISTO REY	6
147	ESCUELA EP N°19/ES N°64	6
148	JARDIN DE INFANTES N°914	6
149	ESCUELA ES N°13	6
150	ESCUELA EP N°126/ES N°13 EXTENSION 1	6
151	JARDIN DE INFANTES N°903	6
152	ESCUELA ANTONIO PROVOLO	6
153	COLEGIO SANTA MARIA	6
154	ESCUELA EP N°16	6
155	COLEGIO MANANTIALES	6
156	COLEGIO SAN CAYETANO	6
157	COLEGIO SAN MIGUEL (EP/ES)	20
158	ESCUELA EDUC.ESPECIAL N°524	20
159	COLEGIO NUESTRA SEÑORA DE LA MERCED	6
160	JARDIN DE INFANTES N°905	6
161	ESCUELA EP N°56/ES N°65	6
162	ESCUELA EP N°25/ES N°69	19
163	JARDIN DE INFANTES N°923	19
164	COLEGIO NUESTRA SEÑORA DE LA ANUNCIACION	19
165	ESCUELA EP N°60/ES N°85	19
166	JARDIN DE INFANTES N°981	22
167	ESCUELA EP N°124	22
168	ESCUELA ES N°50	22
169	ESCUELA EP N°79	22
170	COLEGIO N.SRA. DEL CARMEN(ES)	22
171	ESCUELA ES N°5	22
172	JARDIN DE INFANTES N°932	22
173	ESCUELA EP N°31/ES N°92	22
174	ESCUELA EP N°89/ES N°92 ANEXO	19
175	COLEG.PARROQUIAL SANTA LUCIA	22
176	ESCUELA EST N°8	22
177	JARDIN DE INFANTES N°971	22
178	ESCUELA ES N°79	22
179	ESCUELA EP N°76	22
180	JARDIN DE INFANTES N°910	22
181	ESCUELA ES N°11 ANEXO II	22
182	ESCUELA EP N°30	22
183	ESCUELA EP N°92/ES N°37	14
184	ESCUELA EP N°67/ES N°57	14
185	COLEGIO PATRIS EP/ES	14
186	ESCUELA EP N°107/ES N°93	15
187	COLEGIO SANTA ANA EP	15
188	ESCUELA ARCO IRIS(EP)	15
189	ESCUELA SECUNDARIA ALBORES	15
190	COLEGIO BOSQUE DEL PLATA	15
191	COLEGIO RAICES DE GONNET EP/ES	15
192	ESCUELA EP N°68	9
193	ESCUELA EP N°69/ES N°42	9
194	COLEG. CLUB ESTUDIANTES DE L.P EP/ES	9
195	ESCUELA EP N°117	9
196	ESCUELA ES N°47	9
197	COLEGIO III MILENIO (EP)	9
198	ESCUELA EP N°44	9
199	INSTITUTO MANUEL BELGRANO EP/ES	9
200	JARDIN DE INFANTES N°957	9
201	ESCUELA PADRE J.DARDI	9
202	ESCUELA CEFERINO NAMUNCURA	9
203	ESCUELA ES N°15	9
204	ESCUELA EP N°34/ES N°63	9
205	ESCUELA EP N°12/ES N°4	9
206	ESCUELA FRAY MAMERTO ESQUIU	9
207	INSTITUTO JOSE MANUEL ESTRADA	9
208	COLEGIO III MILENIO (ES)	9
209	ESCUELA EP N°80/ES N°4 ANEXO 1	9
210	ESCUELA EP N°38	12
211	ESCUELA ES N°75	12
212	JARDIN DE INFANTES N°907	12
213	ESCUELA ES N°12	12
214	ESCUELA EP N°81/ES N°59	13
215	JARDIN DE INFANTES N°955	13
216	COLEGIO CONCILIO VATICANO II	13
217	INSTITUTO SAN JOSE OBRERO	13
218	JARDIN DE INFANTES N°919	12
219	ESCUELA EP N°18	13
220	COLEGIO MARIE CURIE (EP/ES)	13
221	COLEGIO AIRE LIBRE (EP/ES)	12
222	ESCUELA EP N°36/ES N°83	12
223	COLEGIO CEDI	12
224	COLEGIO SAN FRANCISCO DE ASIS	23
225	ESCUELA EP N°17	23
226	ESCUELA EST N°2	23
227	JARDIN DE INFANTES N°941	23
228	ESCUELA ES N°28 EXTENSION I	23
229	ESCUELA EP N°14	23
230	ESCUELA EDUC.ESPECIAL N°536	23
231	JARDIN DE INF.MUNICIPAL N°14	23
232	ESCUELA ES N°28	23
233	ESCUELA ES N°88	23
234	ESCUELA EP N°24	23
235	ESCUELA EP N°32	7
236	ESCUELA ES N°7	7
237	COLEGIO SAGR.CORAZON DE MARIA (EP/ES)	7
238	ESCUELA ES N°67	7
239	ESCUELA EP N°93	7
240	ESCUELA EP N°123	10
241	ESCUELA ES N°72	10
242	ESCUELA EP N°41	20
243	ESCUELA ES N°22	20
244	JARDIN DE INFANTES N°928	20
245	COLEGIO SAN CARLOS	20
246	CENTRO DE FOMENTO C.YD.LAS QUINTAS	20
247	ESCUELA EP N°71	20
248	ESCUELA EP N°73/ES N°89	20
249	JARDÍN HUELLITAS	20
250	COLEGIO HUELLAS	20
251	LA CASITA DE UGHETTO	20
252	ESCUELA EP N°52/ES N°68	20
253	DELEG.MUNICIPAL SAN CARLOS	20
254	ESCUELA EP N°13/ES N°95	18
255	JARDIN DE INFANTES N°980	18
256	JARDÍN DE INFANTES N°987	18
257	ESCUELA ESPECIAL Nº516	18
258	CLUB DEP.Y BIBLIOT.ROMERENSE	18
259	ESCUELA ESPECIAL Nº529	18
260	ESCUELA EP N°63	20
261	JARDIN DE INFANTES N°958	20
262	ESCUELA ES N°77	20
263	ASOCOACION NUEVA ALIANZA	20
264	COLEGIO MADRE DIVINA GRACIA	18
265	ESCUELA EP N°39	18
266	ESCUELA EST N°4	18
267	ESCUELA ES N°78	18
268	ESCUELA EP N°48/ES N°77 ANEXO	16
269	CENTTRO DE FOMENTO EL CENTINELA	16
270	JARDIN DE INFANTES N°961	16
271	JARDIN DE INFANTES N°991	16
272	COOPERATIVA DE TRABAJO COLEGIO EMANUEL	16
273	ESCUELA EP N°57	8
274	ESCUELA ES AGRARIA N°1	8
275	ESCUELA EP N°6/ES N°41	8
276	ESCUELA EP N°26	8
277	ESCUELA ES N°73	8
278	ESCUELA ES N°38	8
279	ESCUELA EP N°119	16
280	ESCUELA ES N°9	16
281	ESCUELA ES N°9 (ANEXO)	16
282	JARDIN DE INFANTES N°927	16
283	ESCUELA EST N°6	4
284	ESCUELA EP N°128/ ES N°33	4
285	CENTRO DE FORMAC.PROFES.N°418	4
286	INSTITUTO SUPERIOR GUMERCINDA DEL CARMEN CASSATTI	4
287	JARDIN DE INFANTES N°951	4
288	COLEGIO PAPIROS/ ESC SEC NTRA SRA DEL VALLE	4
289	ESCUELA EP N°43	4
290	ESCUELA PRIMARIA EUFORION	4
291	FACULTAD DE CS.VETERINARIAS	4
292	FACULTAD DE CS.NATURALES	4
293	COLEG.OBISPO ANUNCIADO SERAFIN EP/ES	4
294	ESCUELA EP N°45/ ES N°66	4
295	ESCUELA ES N°17	4
296	ESCUELA EDUC.ESPECIAL N°527	4
297	ESCUELA EP N°65/ES N°26 EXTENSION	4
298	ESCUELA EP N°15/ ES N°26	4
299	COLEG.SAN MIGUEL GARICOITS	1
300	U.N.L.P FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES	1
301	ESCUELA CRUZ ROJA ARGENTINA	1
302	ASOC.CULT.Y DEP.RECONQUISTA	2
303	ESC.GRADUADA J.V.GONZALEZ UNLP	1
304	INSTITUTO MARIA AUXILIADORA	3
305	JARDIN DE INFANTES N°908	5
306	CTRO.DE FOMENTO CIRCUNVALACION	24
307	JARDÍN MUNICIPAL Nº2	24
308	JARDIN DE INFANTES N°964	17
309	JARDIN DE INFANTES N°949	11
310	JARDÍN DE INFANTES Nº939	6
311	JARDIN DE INFANTES N°906	22
312	JARDIN DE INFANTES N°931	19
313	COLEGIO ESSERI EP/ES	14
314	JARDIN DE INFANTES N°911	9
315	ESCUELA EP N°130 EXT 1/ POLIMODAL Nº35 ANEXO A	23
316	ESCUELA SAN JUAN BAUTISTA	20
317	COLEGIO SAN AGUSTÍN (ES)	8
318	ESCUELA A.P.A.D.I.M	4
319	FACULTAD DE PERIODISMO	4
320	CENTRO DE FOMENTO FLORESTA	24
321	CENTRO MOLISANO SANT ELIA	24
322	CLUB EVERTON "CAMPO DE DEPORTES	24
323	CLUB AMANECER DE LOS ABUELOS	24
324	LA CASITA DE LOS PIBES /CENTRO DE FORM. PROF. N°436	24
325	JARDIN DE INFANTES N°985	21
326	CENTRO DE SALUD N 8	21
327	JARDÍN MUNICIPAL Nº5	21
328	JARDIN DE INFANTES N°973	25
329	ESCUELA EP N°20/ES N°48	17
330	CENTRO DE CULTURA JULIO LOPEZ	17
331	CLUB EL TRIUNFO	17
332	JARDÍN DE INFANTES LA CASA DE TODOS	17
333	CAPITAL CHICA EP/JI/CLUB	17
334	ESCUELA EP N°3/ES N°91	17
335	JARDIN DE INFANTES N°917	6
336	ESCUELA EP N°75/ES N°84	15
337	JARDIN DE INFANTES N°926	12
338	JARDIN DE INFANTES N°911	9
339	JARDIN DE INFANTES N°926	12
340	COLEGIO DIVINA PROVIDENCIA EP/ES	7
341	ESCUELA EP N°49	10
342	ESCUELA ESPECIAL Nº533	20
343	CENTRO DE FORMACION PROFESIONAL Nº411	18
344	CENTRO CULTURAL COMUNITARIO ZONA OESTE	18
345	JARDÍN DE INFANTES BEATA JOSEFINA BAKHITA	20
346	CLUB DEP.Y BIBLIOT.ROMERENSE	18
347	CASA DEL NIÑO MUNICIPAL	18
348	ESCUELA ES AGRARIA N°1	8
349	ESCUELA EP N°28/ES N°53	17
350	ESCUELA EP N°3/ES N°91	17
